Method;Job;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;Platform;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;Toolchain;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;SegmentSize;Mean;Error;StdDev;Median;Min;Max
CalculateDensities;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;1000000;"1,252,002.7 ns";"6,789.997 ns";"6,019.155 ns";"1,251,735.7 ns";"1,238,234.5 ns";"1,261,546.0 ns"
GetPayloads;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;1000000;"797,642.8 ns";"42,579.985 ns";"125,548.046 ns";"701,792.6 ns";"671,245.1 ns";"1,208,554.5 ns"
GetRealEvents;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;1000000;"2,317,835.2 ns";"10,889.131 ns";"9,652.931 ns";"2,316,146.6 ns";"2,304,937.7 ns";"2,337,141.1 ns"
CalculateDensities;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;2000000;"2,656,752.6 ns";"52,951.275 ns";"77,615.292 ns";"2,662,150.7 ns";"2,276,931.3 ns";"2,738,997.9 ns"
GetPayloads;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;2000000;"1,824,210.6 ns";"3,602.976 ns";"3,370.226 ns";"1,824,056.0 ns";"1,817,394.8 ns";"1,830,936.8 ns"
GetRealEvents;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;2000000;"6,565,565.4 ns";"19,500.549 ns";"16,283.841 ns";"6,563,242.3 ns";"6,548,345.9 ns";"6,608,618.2 ns"
CalculateDensities;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;4000000;"5,122,178.6 ns";"71,196.737 ns";"66,597.472 ns";"5,149,516.4 ns";"5,008,595.2 ns";"5,208,237.3 ns"
GetPayloads;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;4000000;"3,542,073.2 ns";"11,764.153 ns";"11,004.196 ns";"3,537,193.4 ns";"3,530,737.0 ns";"3,567,029.7 ns"
GetRealEvents;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;4000000;"9,456,205.7 ns";"18,248.797 ns";"16,177.083 ns";"9,458,126.5 ns";"9,435,916.2 ns";"9,498,485.8 ns"
CalculateDensities;Default;False;Default;Default;Default;Default;Default;Default;11111111;Empty;RyuJit;X64;Core;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;1;Default;Default;1;Default;Default;Default;Default;Default;16;1;5000000;"6,130,708.5 ns";"73,440.342 ns";"68,696.142 ns";"6,118,305.5 ns";"6,037,674.0 ns";"6,237,305.7 ns"
